Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Change,Cummulative change
30-Oct-2016,23609.95,23637.05,23569.2,23595.95,14187686,330.07,0.34,19.90
01-Nov-2016,23661.95,23783,23593.5,23648.95,132118210,3505.39,0.22,20.17
02-Nov-2016,23436.25,23436.25,23196.85,23225.4,103307034,2866.99,-1.79,18.02
03-Nov-2016,23196.85,23397.4,22860.3,22910.8,109730091,2986.05,-1.35,16.42
04-Nov-2016,22955.6,22976.45,22378.3,22621.55,118011461,3729.42,-1.26,14.95
07-Nov-2016,22891.7,23020.25,22726.65,22776.55,91300135,2962.8,0.69,15.73
08-Nov-2016,22856.1,22889.35,22691.35,22856.3,91831317,2758.2,0.35,16.14
09-Nov-2016,21509.85,22474.15,20853.95,22430.8,192615312,5323.07,-1.86,13.98
10-Nov-2016,22796.85,23088.95,22737.9,22791.85,189004825,5053.57,1.61,15.81
11-Nov-2016,22537.75,22565.05,21922.45,22033.45,154993549,4470.45,-3.33,11.96
15-Nov-2016,22028.75,22028.75,20889,21066.65,164739161,5416.82,-4.39,7.05
16-Nov-2016,21350.85,21509.85,20970.05,21229,140916024,4365.32,0.77,7.87
17-Nov-2016,21261.85,21401.65,21156.6,21231.55,108468333,3130.3,0.01,7.88
18-Nov-2016,21282.65,21371.9,21159.05,21332.05,113480417,3062.29,0.47,8.39
21-Nov-2016,21416.2,21437.8,20758.3,20791.8,116600149,2994.27,-2.53,5.65
22-Nov-2016,20940.95,21176.85,20797.55,21121.55,117810791,3027.13,1.59,7.33
23-Nov-2016,21280.15,21453.75,21110.35,21417.65,111226429,2923.45,1.40,8.83
24-Nov-2016,21358.6,21480.9,21225.2,21404.5,155891089,4380.15,-0.06,8.76
25-Nov-2016,21500.35,21772.05,21424,21747.8,105590903,2959.01,1.60,10.51
28-Nov-2016,21736.15,21948.75,21687.85,21907.85,102687159,2930.13,0.74,11.32
29-Nov-2016,21953.9,22102.5,21894.55,21929.45,96892133,3005.92,0.10,11.43
30-Nov-2016,21999.45,22233.75,21957.85,22184.65,160081105,7607.13,1.16,12.73
01-Dec-2016,22238.45,22243.7,21958.35,21974.15,86791463,2626.17,-0.95,11.66
02-Dec-2016,21828.45,21868.55,21631.55,21683.2,97668304,2639,-1.32,10.18
05-Dec-2016,21707.2,21914.7,21699.1,21881.1,77628233,2148.95,0.91,11.18
06-Dec-2016,21961.8,22042.1,21914.2,21937.35,70380675,2099.59,0.26,11.47
07-Dec-2016,22027.7,22047.3,21786.2,21916.15,79592609,2324.44,-0.10,11.36
08-Dec-2016,22075.55,22331.15,22057.25,22307.4,92787796,2776.84,1.79,13.35
09-Dec-2016,22349.25,22363.75,22184.95,22237.75,89582387,2382.16,-0.31,13.00
12-Dec-2016,22238.15,22238.15,21918.35,21965.45,80158261,2097.89,-1.22,11.61
13-Dec-2016,21960.9,21969.25,21759.45,21865,81191535,2623.07,-0.46,11.10
14-Dec-2016,21915.65,21917.2,21651.2,21666.65,83941698,2973.75,-0.91,10.10
15-Dec-2016,21513.25,21829.4,21494.15,21630.55,73017185,2343.18,-0.17,9.91
16-Dec-2016,21674.6,21704.65,21527.45,21593.4,72218305,2355.52,-0.17,9.72
19-Dec-2016,21630.6,21630.6,21423.3,21450.4,63515069,1935.43,-0.66,9.00
20-Dec-2016,21452.75,21492.4,21219.2,21273.2,62590433,1861.45,-0.83,8.10
